municipality,state,Country,admin_scale,lat,lng,passed,end_date_earliest,end_date_legist,end_date_rent_relief,end_date_court,policy_summary,policy_type,link,resource,state_level_legal_status,state_level_legal_summary,point_total,pts_eviction_initiation_tot_10,pts_eviction_protect_tot_04,pts_eviction_pending_tot_03,pts_tenant_action_tot_00,pts_partial_rent_tot_01,pts_repayment_period_tot_05,pts_latefees_tot_03,pts_repayment_plan_tot_00,pts_courts_tot_15,pts_renter_protection_tot_06,ISO,range,lat1,long,geo_method,geo,has_expired_protections
Walton,Florida,United States,County,30.6204939,-86.1912678,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",1,10,0,0,2,,-5,,,-6,,USA,1,,,,,FALSE
Lake,Florida,United States,County,28.7006859,-81.78994,TRUE,,,,,"Evictions Suspended
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",14.5,10,4,0,2,,-5,,,3.5,,USA,2,,,,,FALSE
Taylor,Florida,United States,County,30.0926733,-83.6377926,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://thirdcircuitfl.org/orders/ao-2020-002/,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",-1,10,4,0,2,,-5,,,-12,,USA,1,,,,,FALSE
Bradford,Florida,United States,County,29.9715087,-82.1608653,TRUE,,,,,"Evictions Suspended
Residential and commercial  evictions for non-payment are suspended. Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",1,10,0,0,2,,-5,,,-6,,USA,1,,,,,FALSE
Monroe,Florida,United States,County,25.582937,-80.970822,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,http://www.monroecountyem.com/1183/Housings-and-Evictions,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",5.5,10,4,0,2,,-5,,,-5.5,,USA,2,,,,,FALSE
Hendry,Florida,United States,County,26.597094,-81.1520667,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",10.5,10,9,0,2,,-5,,,-5.5,,USA,2,,,,,FALSE
Jackson,Florida,United States,County,30.8013861,-85.2063186,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",7,10,4,0,2,,-5,,,-4,,USA,2,,,,,FALSE
Duval,Florida,United States,County,30.3540073,-81.6632109,TRUE,,,,,"Evictions Suspended
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,http://www2.duvalclerk.com/about/office-status/#contentTop,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",10.5,10,0,0,2,,-5,,,3.5,,USA,2,,,,,FALSE
Indian River,Florida,United States,County,27.7041555,-80.5894422,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,http://www.circuit19.org/sites/default/files/Administrative%20Orders/2020/2020-01.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",10,10,9,0,2,,-5,,,-6,,USA,2,,,,,FALSE
Marion,Florida,United States,County,29.2182454,-82.0626948,TRUE,,,,,"Evictions Suspended
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://www.circuit5.org/wp-content/uploads/2020/04/a-2020-15-c.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",14.5,10,4,0,2,,-5,,,3.5,,USA,2,,,,,FALSE
Gulf,Florida,United States,County,29.9665252,-85.2175889,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",7,10,4,0,2,,-5,,,-4,,USA,2,,,,,FALSE
Hamilton,Florida,United States,County,30.5232289,-82.9763531,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://thirdcircuitfl.org/orders/ao-2020-002/,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",-1,10,4,0,2,,-5,,,-12,,USA,1,,,,,FALSE
Polk,Florida,United States,County,27.9448537,-81.7268789,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,http://www.jud10.flcourts.org/sites/default/files/adminOrders/AO_1-53.2.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",5,10,4,0,2,,-5,,,-6,,USA,2,,,,,FALSE
Hillsborough,Florida,United States,County,27.9184543,-82.3488057,TRUE,,,,,"Evictions Suspended
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://www.fljud13.org/Portals/0/AO/DOCS/S-2020-023.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",13,10,0,0,2,,-5,,,6,,USA,2,,,,,FALSE
Suwannee,Florida,United States,County,30.2101192,-82.9873377,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://thirdcircuitfl.org/orders/ao-2020-002/,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",-1,10,4,0,2,,-5,,,-12,,USA,1,,,,,FALSE
St. Johns,Florida,United States,County,29.9032284,-81.4145468,TRUE,,,,,"Evictions Active
A statewide moratorium is in place until Aug. 1, but this county does not appear to have implemented policies to enforce these protections. Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,http://www.circuit7.org/Circuit%20Judges/sjclosures.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",-2.5,10,2,0,2,,-5,,,-11.5,,USA,1,,,,,FALSE
Dixie,Florida,United States,County,29.6214008,-83.17351,TRUE,,,,,"Evictions Suspended
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://thirdcircuitfl.org/orders/ao-2020-002/,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",8,10,4,0,2,,-5,,,-3,,USA,2,,,,,FALSE
Washington,Florida,United States,County,30.6009343,-85.6762025,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://www.jud14.flcourts.org/sites/default/files/media/doc/administrative_orders/2020-00-08.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",7,10,4,0,2,,-5,,,-4,,USA,2,,,,,FALSE
Wakulla,Florida,United States,County,30.1480038,-84.3543512,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",5.5,10,4,0,2,,-5,,,-5.5,,USA,2,,,,,FALSE
Franklin,Florida,United States,County,29.8323143,-84.8239118,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://cvweb.clerk.leon.fl.us/public/clerk_services/official_records/download_document.asp?book=5426&page=512,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",5.5,10,4,0,2,,-5,,,-5.5,,USA,2,,,,,FALSE
Pinellas,Florida,United States,County,27.8778904,-82.7329309,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://www.mypinellasclerk.org/Coronavirus,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",-3.5,10,0,1,2,,-5,,,-11.5,,USA,1,,,,,FALSE
Columbia,Florida,United States,County,30.1935988,-82.6327488,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://thirdcircuitfl.org/orders/ao-2020-002/,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",-1,10,4,0,2,,-5,,,-12,,USA,1,,,,,FALSE
Escambia,Florida,United States,County,30.6625885,-87.3451089,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,http://www.northescambia.com/2020/03/escambia-sheriffs-office-suspends-some-functions-due-to-covid-19,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",1,10,0,0,2,,-5,,,-6,,USA,1,,,,,FALSE
Sarasota,Florida,United States,County,27.1813609,-82.3609195,TRUE,,,,,"Evictions Suspended
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://www.jud12.flcourts.org/Portals/0/AdminOrders/Section01/2020-11.1.pdf?ver=2020-04-15-091920-943,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",-0.5,10,4,1,2,,-5,,,-12.5,,USA,1,,,,,FALSE
Volusia,Florida,United States,County,29.0533409,-81.1310761,TRUE,,,,,"Evictions Active
A statewide moratorium is in place until Aug. 1, but this county does not appear to have implemented policies to enforce these protections. Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,http://www.circuit7.org/Communications/Chief%20Judge%20Coronavirus%20Message%202.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",-2.5,10,2,0,2,,-5,,,-11.5,,USA,1,,,,,FALSE
Gilchrist,Florida,United States,County,29.7131619,-82.7975172,TRUE,,,,,"Evictions Suspended
Residential and commercial  evictions for non-payment are suspended. Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://circuit8.org/wp-content/uploads/11.29-Suspension-of-Certain-Eviction-and-Mortgage-Foreclosure-Actions.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",-5,10,0,0,2,,-5,,,-12,,USA,1,,,,,FALSE
Okeechobee,Florida,United States,County,27.3923408,-80.8873655,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,http://www.circuit19.org/sites/default/files/Administrative%20Orders/2020/2020-01.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",10,10,9,0,2,,-5,,,-6,,USA,2,,,,,FALSE
Lee,Florida,United States,County,26.5999265,-81.8823135,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://www.naplesnews.com/story/news/local/2020/03/18/coronavirus-southwest-florida-your-questions-answered/2863655001/,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",10.5,10,9,0,2,,-5,,,-5.5,,USA,2,,,,,FALSE
Madison,Florida,United States,County,30.4514352,-83.4524524,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",-1,10,4,0,2,,-5,,,-12,,USA,1,,,,,FALSE
Collier,Florida,United States,County,26.087964,-81.3794941,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://www.naplesnews.com/story/news/local/2020/03/18/coronavirus-southwest-florida-your-questions-answered/2863655001/,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",1.5,10,0,0,2,,-5,,,-5.5,,USA,1,,,,,FALSE
Hardee,Florida,United States,County,27.4856349,-81.8196804,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,http://www.jud10.flcourts.org/sites/default/files/adminOrders/AO_1-53.2.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",5,10,4,0,2,,-5,,,-6,,USA,2,,,,,FALSE
Flagler,Florida,United States,County,29.4844412,-81.2917415,TRUE,,,,,"Evictions Active
A statewide moratorium is in place until Aug. 1, but this county does not appear to have implemented policies to enforce these protections. Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,http://www.circuit7.org/Communications/Chief%20Judge%20Coronavirus%20Message%202.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",-2.5,10,2,0,2,,-5,,,-11.5,,USA,1,,,,,FALSE
Glades,Florida,United States,County,26.9328123,-81.1895983,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",10.5,10,9,0,2,,-5,,,-5.5,,USA,2,,,,,FALSE
Miami-Dade,Florida,United States,County,25.6364246,-80.4989467,TRUE,,,,,"Evictions Suspended
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,https://www.jud11.flcourts.org/docs/1-20-08%20A1%20COVID-19%20EMERGENCY%20PROCEDURES%20AMENDING%20SUSPENSION%20OF%20TIME%20PERIODS%20SET%20FORTH%20IN%20ADMINISTRATIVE%20ORDER%20NO.%2020-08_CONFORMED.pdf,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",13.5,10,0,0,2,,-5,,,6.5,,USA,2,,,,,FALSE
Leon,Florida,United States,County,30.4683062,-84.2549068,TRUE,,,,,"Evictions Active, but Tenant Removal Paused
Apply for free legal aid services at tinyurl.com/flonlineintake",Eviction Protection,http://www.leoncountyso.com/departments/judicial-services/civil-process-unit,www.communityjusticeproject.com,COVID-19 Hardship Eviction Cases Suspended,"On April 2, Governor DeSantis suspended statutes giving a cause of action for eviction related to COVID19 and foreclosure for 45 days. On May 14, the order was extended to June 2 and on June 1 it was extended to July 1 and on June 30 it was extended to Augusst 1. The Florida Supreme Court suspended the requirement for the clerk to issue writs of possession ""forthwith"" until July 2. The Governor announced a $250 million housing assistance program, which provides $120 million to the state housing authorities, and $120 million to counties to assist renters.",5.5,10,4,0,2,,-5,,,-5.5,,USA,2,,,,,FALSE
